animal,visible
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no
cat,yes
dog,no
cow,no
horse,yes
rabbit,no
pig,yes
duck,yes
cow,no
horse,yes
duck,yes
cat,yes
dog,no
cow,no
cow,yes
pig,yes
cat,no
horse,no
horse,no
rabbit,no
pig,yes
rabbit,no
cat,no